seed,source,target,type,R2,gap
7,Trina_monoSi,Calyxo_CdTe,cross-technology,0.9620638758994262,0.013665040590352673
7,Trina_monoSi,Kyocera_polySi,cross-technology,0.9627426050096866,0.009391731059117392
7,Trina_monoSi,NIST_Ground_monoSi,cross-climate,0.9439319610490079,0.047245890419804315
123,Calyxo_CdTe,Calyxo_CdTe,within,0.9753532829091158,0.0
123,Kyocera_polySi,Kyocera_polySi,within,0.9698938941460266,0.0
123,NIST_Ground_monoSi,NIST_Ground_monoSi,within,0.9886588154820078,0.0
123,Trina_monoSi,Trina_monoSi,within,0.943315929984358,0.0
123,Calyxo_CdTe,Kyocera_polySi,cross-technology,0.9683546818296472,0.0015392123163793237
123,Calyxo_CdTe,NIST_Ground_monoSi,cross-climate,0.9717397538388836,0.01691906164312429
123,Calyxo_CdTe,Trina_monoSi,cross-technology,0.941517767819003,0.0017981621653549995
123,Kyocera_polySi,Calyxo_CdTe,cross-technology,0.9704166006671365,0.0049366822419792955
123,Kyocera_polySi,NIST_Ground_monoSi,cross-climate,0.95324628475118,0.03541253073082784
123,Kyocera_polySi,Trina_monoSi,cross-technology,0.9436123292227533,-0.00029639923839530624
123,NIST_Ground_monoSi,Calyxo_CdTe,cross-climate,0.9550803981183826,0.020272884790733192
123,NIST_Ground_monoSi,Kyocera_polySi,cross-climate,0.9406818275768098,0.02921206656921671
123,NIST_Ground_monoSi,Trina_monoSi,cross-climate,0.9123222152281388,0.03099371475621915
123,Trina_monoSi,Calyxo_CdTe,cross-technology,0.9623821500022702,0.012971132906845595
123,Trina_monoSi,Kyocera_polySi,cross-technology,0.9631038081216728,0.006790086024353714
123,Trina_monoSi,NIST_Ground_monoSi,cross-climate,0.9439001490930573,0.04475866638895054
