seed,source,target,type,R2,gap
123,Calyxo_CdTe,Trina_monoSi,cross-technology,0.9173034105109933,0.003840630436914849
123,Kyocera_polySi,Calyxo_CdTe,cross-technology,0.9554893545023162,0.0035133166354929246
123,Kyocera_polySi,NIST_Ground_monoSi,cross-climate,0.9413755761201961,0.03817010621340322
123,Kyocera_polySi,Trina_monoSi,cross-technology,0.9179233650327707,0.0032206759151374165
123,NIST_Ground_monoSi,Calyxo_CdTe,cross-climate,0.9470881379557881,0.01191453318202107
123,NIST_Ground_monoSi,Kyocera_polySi,cross-climate,0.9245938767324685,0.026246694630993606
123,NIST_Ground_monoSi,Trina_monoSi,cross-climate,0.8933811428882821,0.027762898059626062
123,Trina_monoSi,Calyxo_CdTe,cross-technology,0.9525259739857173,0.00647669715209187
123,Trina_monoSi,Kyocera_polySi,cross-technology,0.9458694378568626,0.004971133506599501
123,Trina_monoSi,NIST_Ground_monoSi,cross-climate,0.9431776202192323,0.03636806211436694
