weather,prior,seed,within,zs_catboost,zs_mlp,mlp_ft20,tree_fs20
nw,AU+US measured,42,0.9866293760775482,0.9371394503698877,0.9395000770959943,0.9817771538321188,0.9372571175884654
nw,India-native PVGIS,42,0.9866293760775482,0.9557092342597984,0.9486496063620964,0.9593197621515419,0.9557072818373452
nw,AU+US measured,1,0.987861975008291,0.9418023094700035,0.9460683840787721,0.9862129844525287,0.9419171642852961
nw,India-native PVGIS,1,0.987861975008291,0.9609433506418265,0.9545080625740044,0.9643657202870399,0.9607339534079661
nw,AU+US measured,2,0.9896724038940162,0.9408025346740927,0.9440147678647937,0.988166652756129,0.9407150597456246
nw,India-native PVGIS,2,0.9896724038940162,0.9600136330389373,0.9537417886082183,0.9635142212028645,0.9600156332763381
nw,AU+US measured,7,0.9921645894294572,0.9386724418814664,0.9418325686111715,0.9873761585677,0.9389118813455829
nw,India-native PVGIS,7,0.9921645894294572,0.9582463578967338,0.9505840149580861,0.9617740124397325,0.9579989507210689
nw,AU+US measured,123,0.9873072778645443,0.9462625961001379,0.9492409588504521,0.9864722197184035,0.9461138804426896
nw,India-native PVGIS,123,0.9873072778645443,0.9615334653441489,0.9554539796218331,0.9647701942773036,0.9613468876717722
w,AU+US measured,42,0.9881038708903238,0.8889485871189385,0.884781360262166,0.9175418805837736,0.8916281101156633
w,India-native PVGIS,42,0.9881038708903238,0.960430886171749,0.958358312126992,0.9694809114190235,0.9604126519126174
w,AU+US measured,1,0.9878449005007441,0.9055245847289852,0.9026541772841638,0.9318429258798578,0.9072346567021349
w,India-native PVGIS,1,0.9878449005007441,0.9660170516775112,0.964299146357018,0.9745335688595829,0.9661709463740003
w,AU+US measured,2,0.9884356483622726,0.9028883812925381,0.9010730022049743,0.9302283182932646,0.9053531518305233
w,India-native PVGIS,2,0.9884356483622726,0.9656365275843019,0.9637340971698738,0.9738834232594125,0.9654691390730727
w,AU+US measured,7,0.9921155505744185,0.8919712107976359,0.8906193083923191,0.9242344358291688,0.8947219078087109
w,India-native PVGIS,7,0.9921155505744185,0.9644405226915354,0.9620534398604585,0.9737601629524211,0.9643953127165527
w,AU+US measured,123,0.9861479923624369,0.9116676601510377,0.9080153573696721,0.934731040586754,0.9129183846127042
w,India-native PVGIS,123,0.9861479923624369,0.9661527833232819,0.9645322797399657,0.9740852905302889,0.9662146470461556
