weather,seed,source,target,direction,R2,within_target,gap
w,1,NIST_Ground_monoSi,KagglePlant1_India,to-India,0.9207231604835295,0.9826318416575445,0.061908681174014935
w,1,Trina_monoSi,KagglePlant1_India,to-India,0.890709996904886,0.9826318416575445,0.09192184475265852
w,1,KagglePlant1_India,Calyxo_CdTe,from-India,0.8879838382894752,0.9720348695824415,0.0840510312929662
w,1,KagglePlant1_India,Kyocera_polySi,from-India,0.8562028795349121,0.9725516074761266,0.11634872794121442
w,1,KagglePlant1_India,NIST_Ground_monoSi,from-India,0.9161807027776948,0.9888107604762246,0.07263005769852982
w,1,KagglePlant1_India,Trina_monoSi,from-India,0.8292402203794926,0.9444702472228086,0.11523002684331596
w,2,KagglePlant1_India,KagglePlant1_India,within,0.9899381153646688,0.9899381153646688,0.0
w,2,Calyxo_CdTe,KagglePlant1_India,to-India,0.9074445829824341,0.9899381153646688,0.08249353238223467
w,2,Kyocera_polySi,KagglePlant1_India,to-India,0.8757610748810772,0.9899381153646688,0.11417704048359156
w,2,NIST_Ground_monoSi,KagglePlant1_India,to-India,0.9215001577877088,0.9899381153646688,0.06843795757696003
w,2,Trina_monoSi,KagglePlant1_India,to-India,0.8901319328383134,0.9899381153646688,0.09980618252635542
w,2,KagglePlant1_India,Calyxo_CdTe,from-India,0.8895406591287098,0.9755777782554863,0.08603711912677647
w,2,KagglePlant1_India,Kyocera_polySi,from-India,0.8571455994234306,0.9725161220750278,0.1153705226515972
w,2,KagglePlant1_India,NIST_Ground_monoSi,from-India,0.9167125269344896,0.9855341212474072,0.06882159431291768
w,2,KagglePlant1_India,Trina_monoSi,from-India,0.8306246198780192,0.9521295281961915,0.12150490831817229
w,7,KagglePlant1_India,KagglePlant1_India,within,0.992418075913875,0.992418075913875,0.0
w,7,Calyxo_CdTe,KagglePlant1_India,to-India,0.9075192484508856,0.992418075913875,0.08489882746298938
w,7,Kyocera_polySi,KagglePlant1_India,to-India,0.8756850330289712,0.992418075913875,0.11673304288490383
w,7,NIST_Ground_monoSi,KagglePlant1_India,to-India,0.921988705358987,0.992418075913875,0.07042937055488796
w,7,Trina_monoSi,KagglePlant1_India,to-India,0.8895277773173782,0.992418075913875,0.10289029859649679
w,7,KagglePlant1_India,Calyxo_CdTe,from-India,0.8783583619109288,0.9757289164897789,0.09737055457885013
w,7,KagglePlant1_India,Kyocera_polySi,from-India,0.8441053546468944,0.972134336068804,0.12802898142190955
w,7,KagglePlant1_India,NIST_Ground_monoSi,from-India,0.9014345238115405,0.9911778514688122,0.08974332765727167
w,7,KagglePlant1_India,Trina_monoSi,from-India,0.8203461434750972,0.9248804197213347,0.10453427624623757
w,123,KagglePlant1_India,KagglePlant1_India,within,0.9809202149661506,0.9809202149661506,0.0
w,123,Calyxo_CdTe,KagglePlant1_India,to-India,0.9070123279592712,0.9809202149661506,0.07390788700687934
w,123,Kyocera_polySi,KagglePlant1_India,to-India,0.8751383772052069,0.9809202149661506,0.10578183776094363
w,123,NIST_Ground_monoSi,KagglePlant1_India,to-India,0.9213096520586026,0.9809202149661506,0.05961056290754796
w,123,Trina_monoSi,KagglePlant1_India,to-India,0.8899731605542602,0.9809202149661506,0.09094705441189033
w,123,KagglePlant1_India,Calyxo_CdTe,from-India,0.8873426285477453,0.9753532829091158,0.08801065436137057
w,123,KagglePlant1_India,Kyocera_polySi,from-India,0.8531644592826308,0.9698938941460266,0.11672943486339571
w,123,KagglePlant1_India,NIST_Ground_monoSi,from-India,0.914608891880806,0.9886588154820078,0.07404992360120188
w,123,KagglePlant1_India,Trina_monoSi,from-India,0.8298798076639711,0.943315929984358,0.11343612232038691
