weather,source,seed,k,method,R2,zero,within,gap,recovery,gain_a
nw,Trina_monoSi,42,5,gain,0.9531274080815604,0.9285785107222122,0.9866293760775482,0.05805086535533599,0.4228859847149834,1.1472147982491534
nw,Trina_monoSi,42,5,tree,0.9286471646674125,0.9285785107222122,0.9866293760775482,0.05805086535533599,0.0011826515380958123,1.1472147982491534
nw,Trina_monoSi,42,5,mlp,0.9448573601862027,0.9285785107222122,0.9866293760775482,0.05805086535533599,0.2804238897102704,1.1472147982491534
nw,Trina_monoSi,42,10,gain,0.9585867893993043,0.9285785107222122,0.9866293760775482,0.05805086535533599,0.5169307725803568,1.128865882215262
nw,Trina_monoSi,42,10,tree,0.928059306661941,0.9285785107222122,0.9866293760775482,0.05805086535533599,-0.00894395039751888,1.128865882215262
nw,Trina_monoSi,42,10,mlp,0.9762261408533032,0.9285785107222122,0.9866293760775482,0.05805086535533599,0.8207910397103363,1.128865882215262
nw,Trina_monoSi,42,20,gain,0.9603699453113955,0.9285785107222122,0.9866293760775482,0.05805086535533599,0.5476479014496047,1.1199127598612566
nw,Trina_monoSi,42,20,tree,0.9280894024090234,0.9285785107222122,0.9866293760775482,0.05805086535533599,-0.00842551287039282,1.1199127598612566
nw,Trina_monoSi,42,20,mlp,0.9758566183501609,0.9285785107222122,0.9866293760775482,0.05805086535533599,0.8144255445384664,1.1199127598612566
nw,Trina_monoSi,42,40,gain,0.9609692438663966,0.9285785107222122,0.9866293760775482,0.05805086535533599,0.5579715814039464,1.1159900267533893
nw,Trina_monoSi,42,40,tree,0.9269243474386265,0.9285785107222122,0.9866293760775482,0.05805086535533599,-0.028495066756720575,1.1159900267533893
nw,Trina_monoSi,42,40,mlp,0.9760254493667921,0.9285785107222122,0.9866293760775482,0.05805086535533599,0.8173338735633275,1.1159900267533893
nw,Trina_monoSi,42,82,gain,0.961684832670911,0.9285785107222122,0.9866293760775482,0.05805086535533599,0.5702985088344712,1.1098484413266414
nw,Trina_monoSi,42,82,tree,0.9281747811276491,0.9285785107222122,0.9866293760775482,0.05805086535533599,-0.0069547558351088345,1.1098484413266414
